category,strategy,mean_accuracy,std_accuracy,n_observations,zero_shot_baseline,accuracy_gain,fit_score,fit_score_normalized
interpretation,cleo,0.2074074074074074,0.019598157859737703,3,0.6864197530864198,-0.4790123456790124,-24.44170258793004,0.8301771383579808
interpretation,cot,0.6641975308641975,0.02138334330331943,3,0.6864197530864198,-0.022222222222222254,-1.0392304845413298,0.9735752602787325
interpretation,crac,0.09629629629629628,0.022222222222222227,3,0.6864197530864198,-0.5901234567901235,-26.55555555555555,0.8172245518006739
interpretation,creac,0.041975308641975316,0.015419748144193578,3,0.6864197530864198,-0.6444444444444445,-41.79344814312774,0.7238547073913052
interpretation,few_shot_2,0.7234567901234569,0.011315001715940317,3,0.6864197530864198,0.03703703703703709,3.2732683535398985,1.0
interpretation,few_shot_3,0.7555555555555555,0.026707787225659196,3,0.6864197530864198,0.06913580246913575,2.5886009157177323,0.9958047156603693
interpretation,irac,0.12345679012345678,0.011315001715940347,3,0.6864197530864198,-0.562962962962963,-49.75367897380626,0.675078571856048
interpretation,ireac,0.027160493827160497,0.01864156650684136,3,0.6864197530864198,-0.6592592592592593,-35.36501393363667,0.7632447935522731
interpretation,one_shot,0.7209876543209877,0.04276668660663897,3,0.6864197530864198,0.03456790123456788,0.808290376865475,0.9848959028401131
interpretation,role_based,0.7037037037037037,0.025660011963983403,3,0.6864197530864198,0.01728395061728394,0.673575314054562,0.9840704393200125
interpretation,structured,0.54320987654321,0.01131500171594035,3,0.6864197530864198,-0.14320987654320982,-12.656637633687549,0.9023898590349445
interpretation,treacc,0.0024691358024691358,0.004276668660663895,3,0.6864197530864198,-0.6839506172839507,-159.92602456552632,0.0
interpretation,zero_shot,0.6864197530864198,0.0113150017159404,3,0.6864197530864198,0.0,0.0,0.9799431217195091
issue-spotting,cleo,0.9382716049382717,0.008553337321327785,3,0.9580246913580247,-0.01975308641975304,-2.309401076758499,0.9705522334102565
issue-spotting,cot,0.9604938271604938,0.004276668660663837,3,0.9580246913580247,0.0024691358024691024,0.5773502691896257,0.9992319937658198
issue-spotting,crac,0.9555555555555556,0.0,3,0.9580246913580247,-0.0024691358024691024,-100.0,0.0
issue-spotting,creac,0.9654320987654321,0.011315001715940326,3,0.9580246913580247,0.007407407407407418,0.6546536707079792,1.0
issue-spotting,few_shot_2,0.9333333333333332,0.007407407407407418,3,0.9580246913580247,-0.024691358024691468,-3.3333333333333433,0.9603795069715502
